,mz,rt,lcms mode
LN3,134.8662027,1.0567,-1
LN6,231.9323369,1.194,-1
LN9,96.96265539,1.42285,-1
LN10,434.8763071,1.468733333,-1
LN11,242.9440665,1.5144,-1
LN13,75.00966819,1.560183333,-1
LN14,226.9665013,1.605933333,-1
LN26,236.9328379,1.651816667,-1
LN23,234.9357739,1.651816667,-1
LN24,419.8881328,1.651816667,-1
LN22,148.950451,1.651816667,-1
LN20,175.9691088,1.651816667,-1
LN21,264.9279821,1.651816667,-1
LN18,387.941515,1.651816667,-1
LN19,262.930857,1.651816667,-1
LN17,289.948014,1.651816667,-1
LN42,102.9890091,1.6971,-1
LN47,358.9474072,1.6971,-1
LN45,428.9166687,1.6971,-1
LN62,155.9798309,1.6971,-1
LN58,269.9609135,1.6971,-1
LN53,405.9138976,1.6971,-1
LN44,216.9693736,1.6971,-1
LN55,500.9152248,1.6971,-1
LN41,516.8890934,1.6971,-1
LN37,426.9171815,1.6971,-1
LN54,472.9204903,1.6971,-1
LN48,419.8917216,1.6971,-1
LN40,426.9191104,1.6971,-1
LN52,442.892584,1.6971,-1
LN39,358.9449646,1.6971,-1
LN36,114.9891553,1.6971,-1
LN51,488.8982659,1.6971,-1
LN57,504.8772736,1.6971,-1
LN50,305.9270423,1.6971,-1
LN46,532.8680645,1.6971,-1
LN38,516.8936614,1.6971,-1
LN61,130.9841206,1.6971,-1
LN35,418.896441,1.6971,-1
LN33,386.9380075,1.6971,-1
LN34,418.8935081,1.6971,-1
LN31,244.9640497,1.6971,-1
LN29,158.9790031,1.6971,-1
LN32,402.915517,1.6971,-1
LN30,288.9359717,1.6971,-1
LN28,272.9587593,1.6971,-1
LN74,414.8288183,1.7407,-1
LN72,352.8109742,1.7407,-1
LN76,300.8498925,1.7407,-1
LN77,392.8939185,1.7407,-1
LN66,278.9152391,1.7407,-1
LN68,216.8973582,1.7407,-1
LN69,408.8698637,1.7407,-1
LN65,210.9412783,1.7407,-1
LN64,164.9353005,1.7407,-1
LN71,280.9115539,1.7407,-1
LN67,294.8922119,1.7407,-1
LN63,136.940687,1.7407,-1
LN81,314.8640359,1.786383333,-1
LN82,238.8789531,1.786383333,-1
LN80,194.9276308,1.786383333,-1
LN96,386.7992205,1.83225,-1
LN93,334.0632622,1.83225,-1
LN90,380.8423115,1.83225,-1
LN88,302.8380126,1.83225,-1
LN92,364.8691657,1.83225,-1
LN86,296.8818043,1.83225,-1
LN91,286.8648239,1.83225,-1
LN87,280.9081833,1.83225,-1
LN85,128.9598721,1.83225,-1
LN84,112.9860515,1.83225,-1
LN107,302.1364635,1.877933333,-1
LN100,96.9566965,1.877933333,-1
LN97,333.060294,1.877933333,-1
LN102,273.038568,1.877933333,-1
LN99,259.0220541,1.877933333,-1
LN98,96.96355371,1.877933333,-1
